URL followed by	REASON
URL: "http://nsidc.org/data/docs/daac/glas_altimetry/i_attflg1.html"	java.net.SocketTimeoutException
URL: "http://nsidc.org/icelights/2011/02/23/is-dirty-air-adding-to-climate-change-2/"	java.net.SocketTimeoutException
URL: "http://nsidc.org/news/newsroom/2007_seaiceminimum/20071001_pressrelease.html"	java.net.SocketTimeoutException
URL: "http://nsidc.org/noaa/iicwg/presentations/IICWG_2007/backup_of_iicwg_viii_meeting_summary.wbk"	java.net.SocketTimeoutException
URL: "http://nsidc.org/the-drift/data-set/icebridge/page/7/"	java.net.SocketTimeoutException
URL: "http://nsidc.org/the-drift/data-set/noaa/page/6/"	java.net.SocketTimeoutException
URL: "http://nsidc.org/the-drift/data-update/nasa-icebridge-paroscientific-s-1000-l1b-pressure-altimeter-time-tagged-air-pressure-data-for-2012-antarctica-and-2009-2010-and-2011-replacement-data-now-available-at-nsidc/"	java.net.SocketTimeoutException
URL: "http://nsidc.org/the-drift/data-update/nasa-icebridge-reprocessed-dms-l1b-2009-antarctica-data-now-available-at-nsidc/"	java.net.SocketTimeoutException
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=amd&KeywordPath=Parameters%7CPALEOCLIMATE%7CLAND+RECORDS%7CTREE+RINGS&OrigMetadataNode=GCMD&EntryId=NOAA_NCDC_PALEO_2007-010&MetadataView=Full&MetadataType=0&lbnode=mdlb3"	java.net.SocketTimeoutException
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=amd&KeywordPath=Parameters%7CSOLID+EARTH%7CGEOMAGNETISM%7CPALEOMAGNETISM&OrigMetadataNode=GCMD&EntryId=NBP05-02_1B_AMS_Parameters&MetadataView=Full&MetadataType=0&lbnode=mdlb3"	java.net.SocketTimeoutException
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=amd&KeywordPath=Parameters%7CSOLID+EARTH%7CROCKS%26%2347%3BMINERALS%26%2347%3BCRYSTALS%7CAGE+DETERMINATIONS&OrigMetadataNode=AADC&EntryId=ASAC_Harley&MetadataView=Full&MetadataType=0&lbnode=mdlb3"	java.net.SocketTimeoutException
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=amd&KeywordPath=Projects%7CD+-+F%7CEBA&OrigMetadataNode=AADC&EntryId=GVdem_2008&MetadataView=Full&MetadataType=0&lbnode=mdlb3"	java.net.SocketTimeoutException
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Metadata.do?Portal=scarmarbin&KeywordPath=&EntryId=[IPEV]1142_1_IPEV_FR&MetadataView=Text&MetadataType=0&lbnode=mdlb3"	java.net.SocketTimeoutException
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/MetadataTransformation.do?Portal=GCMD&KeywordPath=%5BParameters%3A+Topic%3D%27SOLID+EARTH%27%2C+Term%3D%27GEOMAGNETISM%27%2C+Variable_Level_1%3D%27MAGNETIC+FIELD%27%5D&EntryId=[NOAA-NGDC]gov.noaa.ngdc.mgg.geophysical_models.Declination_Calculator&MetadataType=0&lbnode=mdlb4"	java.net.SocketTimeoutException
URL: "http://nsidc.org/the-drift/data-update/nasa-icebridge-sander-air-grav-l1b-geolocated-anomalies-data-for-2010-antarctica-and-revised-2009-antarctica-data-now-available-at-nsidc/"	java.net.SocketTimeoutException
URL: "http://nsidc.org/arcticseaicenews/2006/10/arctic-sea-ice-news-fall-2006/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2008/04/arctic-sea-ice-extent-at-maximum-below-average-thin/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2008/04/arctic-sea-ice-extent-at-maximum-below-average-thin/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2010/040610.html"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2010/040610.html"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2010/09/arctic-sea-ice-reaches-annual-minimum-extent/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2011/01/repeat-of-a-negative-arctic-oscillation-leads-to-warm-arctic-low-sea-ice-extent/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2011/01/repeat-of-a-negative-arctic-oscillation-leads-to-warm-arctic-low-sea-ice-extent/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2011/01/repeat-of-a-negative-arctic-oscillation-leads-to-warm-arctic-low-sea-ice-extent/"	Http code=500
URL: "http://nsidc.org/arcticseaicenews/2011/01/repeat-of-a-negative-arctic-oscillation-leads-to-warm-arctic-low-sea-ice-extent/"	Http code=500
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Supplementals.do?Portal=amd&KeywordPath=Platforms&EntryId=ACE&MetadataType=2&lbnode=mdlb3"	Http code=500
URL: "http://gcmd.gsfc.nasa.gov/KeywordSearch/Titles.do?Portal=amd&KeywordPath=%5BData_Center%3A+Short_Name%3D%26%23039%3BNSIDC_AGDC%26%23039%3B%5D&MetadataType=0&Offset=50&lbnode=mdlb3"	Http code=500
